"ID","invoiceno","stockcode","description","quantity","invoicedate","unitprice","customerid","country"
"1",,,,,,,,
"2",,,,,,,,
"3",,,,,,,,
"4",,,,,,,,
"5",,,,,,,,
"6",,,,,,,,
"7",,,,,,,,
"8",,,,,,,,
"9",,,,,,,,
"10",,,,,,,,
"11",,,,,,,,
"12",,,,,,,,
"13","536365","85123A","WHITE HANGING HEART T-LIGHT HOLDER","6","2010-12-01T00:26:00.000Z",2.55,"17850","United Kingdom"
"14","536365","71053","WHITE METAL LANTERN","6","2010-12-01T00:26:00.000Z",3.39,"17850","United Kingdom"
"15","536365","84406B","CREAM CUPID HEARTS COAT HANGER","8","2010-12-01T00:26:00.000Z",2.75,"17850","United Kingdom"
"16","536365","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2010-12-01T00:26:00.000Z",3.39,"17850","United Kingdom"
"17","536365","84029E","RED WOOLLY HOTTIE WHITE HEART.","6","2010-12-01T00:26:00.000Z",3.39,"17850","United Kingdom"
"18","536365","22752","SET 7 BABUSHKA NESTING BOXES","2","2010-12-01T00:26:00.000Z",7.65,"17850","United Kingdom"
"19","536365","21730","GLASS STAR FROSTED T-LIGHT HOLDER","6","2010-12-01T00:26:00.000Z",4.25,"17850","United Kingdom"
"20","536366","22633","HAND WARMER UNION JACK","6","2010-12-01T00:28:00.000Z",1.85,"17850","United Kingdom"
"21","536366","22632","HAND WARMER RED POLKA DOT","6","2010-12-01T00:28:00.000Z",1.85,"17850","United Kingdom"
"22","536367","84879","ASSORTED COLOUR BIRD ORNAMENT","32","2010-12-01T00:34:00.000Z",1.69,"13047","United Kingdom"
"23","536367","22745","POPPY'S PLAYHOUSE BEDROOM ","6","2010-12-01T00:34:00.000Z",2.1,"13047","United Kingdom"
"24","536367","22748","POPPY'S PLAYHOUSE KITCHEN","6","2010-12-01T00:34:00.000Z",2.1,"13047","United Kingdom"
"25","536367","22749","FELTCRAFT PRINCESS CHARLOTTE DOLL","8","2010-12-01T00:34:00.000Z",3.75,"13047","United Kingdom"
"26","536367","22310","IVORY KNITTED MUG COSY ","6","2010-12-01T00:34:00.000Z",1.65,"13047","United Kingdom"
"27","536367","84969","BOX OF 6 ASSORTED COLOUR TEASPOONS","6","2010-12-01T00:34:00.000Z",4.25,"13047","United Kingdom"
"28","536367","22623","BOX OF VINTAGE JIGSAW BLOCKS ","3","2010-12-01T00:34:00.000Z",4.95,"13047","United Kingdom"
"29","536367","22622","BOX OF VINTAGE ALPHABET BLOCKS","2","2010-12-01T00:34:00.000Z",9.95,"13047","United Kingdom"
"30","536367","21754","HOME BUILDING BLOCK WORD","3","2010-12-01T00:34:00.000Z",5.95,"13047","United Kingdom"
"31","536367","21755","LOVE BUILDING BLOCK WORD","3","2010-12-01T00:34:00.000Z",5.95,"13047","United Kingdom"
"32","536367","21777","RECIPE BOX WITH METAL HEART","4","2010-12-01T00:34:00.000Z",7.95,"13047","United Kingdom"
"33","536367","48187","DOORMAT NEW ENGLAND","4","2010-12-01T00:34:00.000Z",7.95,"13047","United Kingdom"
"34","536368","22960","JAM MAKING SET WITH JARS","6","2010-12-01T00:34:00.000Z",4.25,"13047","United Kingdom"
"35","536368","22913","RED COAT RACK PARIS FASHION","3","2010-12-01T00:34:00.000Z",4.95,"13047","United Kingdom"
"36","536368","22912","YELLOW COAT RACK PARIS FASHION","3","2010-12-01T00:34:00.000Z",4.95,"13047","United Kingdom"
"37","536368","22914","BLUE COAT RACK PARIS FASHION","3","2010-12-01T00:34:00.000Z",4.95,"13047","United Kingdom"
"38","536369","21756","BATH BUILDING BLOCK WORD","3","2010-12-01T00:35:00.000Z",5.95,"13047","United Kingdom"
"39","536370","22728","ALARM CLOCK BAKELIKE PINK","24","2010-12-01T00:45:00.000Z",3.75,"12583","France"
"40","536370","22727","ALARM CLOCK BAKELIKE RED ","24","2010-12-01T00:45:00.000Z",3.75,"12583","France"
"41","536370","22726","ALARM CLOCK BAKELIKE GREEN","12","2010-12-01T00:45:00.000Z",3.75,"12583","France"
"42","536370","21724","PANDA AND BUNNIES STICKER SHEET","12","2010-12-01T00:45:00.000Z",0.85,"12583","France"
"43","536370","21883","STARS GIFT TAPE ","24","2010-12-01T00:45:00.000Z",0.65,"12583","France"
"44","536370","10002","INFLATABLE POLITICAL GLOBE ","48","2010-12-01T00:45:00.000Z",0.85,"12583","France"
"45","536370","21791","VINTAGE HEADS AND TAILS CARD GAME ","24","2010-12-01T00:45:00.000Z",1.25,"12583","France"
"46","536370","21035","SET/2 RED RETROSPOT TEA TOWELS ","18","2010-12-01T00:45:00.000Z",2.95,"12583","France"
"47","536370","22326","ROUND SNACK BOXES SET OF4 WOODLAND ","24","2010-12-01T00:45:00.000Z",2.95,"12583","France"
"48","536370","22629","SPACEBOY LUNCH BOX ","24","2010-12-01T00:45:00.000Z",1.95,"12583","France"
"49","536370","22659","LUNCH BOX I LOVE LONDON","24","2010-12-01T00:45:00.000Z",1.95,"12583","France"
"50","536370","22631","CIRCUS PARADE LUNCH BOX ","24","2010-12-01T00:45:00.000Z",1.95,"12583","France"
"51","536370","22661","CHARLOTTE BAG DOLLY GIRL DESIGN","20","2010-12-01T00:45:00.000Z",0.85,"12583","France"
"52","536370","21731","RED TOADSTOOL LED NIGHT LIGHT","24","2010-12-01T00:45:00.000Z",1.65,"12583","France"
"53","536370","22900"," SET 2 TEA TOWELS I LOVE LONDON ","24","2010-12-01T00:45:00.000Z",2.95,"12583","France"
"54","536370","21913","VINTAGE SEASIDE JIGSAW PUZZLES","12","2010-12-01T00:45:00.000Z",3.75,"12583","France"
"55","536370","22540","MINI JIGSAW CIRCUS PARADE ","24","2010-12-01T00:45:00.000Z",0.42,"12583","France"
"56","536370","22544","MINI JIGSAW SPACEBOY","24","2010-12-01T00:45:00.000Z",0.42,"12583","France"
"57","536370","22492","MINI PAINT SET VINTAGE ","36","2010-12-01T00:45:00.000Z",0.65,"12583","France"
"58","536370","POST","POSTAGE","3","2010-12-01T00:45:00.000Z",18,"12583","France"
"59","536371","22086","PAPER CHAIN KIT 50'S CHRISTMAS ","80","2010-12-01T01:00:00.000Z",2.55,"13748","United Kingdom"
"60","536372","22632","HAND WARMER RED POLKA DOT","6","2010-12-01T01:01:00.000Z",1.85,"17850","United Kingdom"
"61","536372","22633","HAND WARMER UNION JACK","6","2010-12-01T01:01:00.000Z",1.85,"17850","United Kingdom"
"62","536373","85123A","WHITE HANGING HEART T-LIGHT HOLDER","6","2010-12-01T01:02:00.000Z",2.55,"17850","United Kingdom"
"63","536373","71053","WHITE METAL LANTERN","6","2010-12-01T01:02:00.000Z",3.39,"17850","United Kingdom"
"64","536373","84406B","CREAM CUPID HEARTS COAT HANGER","8","2010-12-01T01:02:00.000Z",2.75,"17850","United Kingdom"
"65","536365","85123A","WHITE HANGING HEART T-LIGHT HOLDER","6","2010-12-01T00:26:00.000Z",2.55,"17850","United Kingdom"
"66","536365","71053","WHITE METAL LANTERN","6","2010-12-01T00:26:00.000Z",3.39,"17850","United Kingdom"
"67","536365","84406B","CREAM CUPID HEARTS COAT HANGER","8","2010-12-01T00:26:00.000Z",2.75,"17850","United Kingdom"
"68","536365","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2010-12-01T00:26:00.000Z",3.39,"17850","United Kingdom"
"69","536365","84029E","RED WOOLLY HOTTIE WHITE HEART.","6","2010-12-01T00:26:00.000Z",3.39,"17850","United Kingdom"
"70","536365","22752","SET 7 BABUSHKA NESTING BOXES","2","2010-12-01T00:26:00.000Z",7.65,"17850","United Kingdom"
"71","536365","21730","GLASS STAR FROSTED T-LIGHT HOLDER","6","2010-12-01T00:26:00.000Z",4.25,"17850","United Kingdom"
"72","536366","22633","HAND WARMER UNION JACK","6","2010-12-01T00:28:00.000Z",1.85,"17850","United Kingdom"
"73","536366","22632","HAND WARMER RED POLKA DOT","6","2010-12-01T00:28:00.000Z",1.85,"17850","United Kingdom"
"74","536367","84879","ASSORTED COLOUR BIRD ORNAMENT","32","2010-12-01T00:34:00.000Z",1.69,"13047","United Kingdom"
"75","536367","22745","POPPY'S PLAYHOUSE BEDROOM ","6","2010-12-01T00:34:00.000Z",2.1,"13047","United Kingdom"
"76","536367","22748","POPPY'S PLAYHOUSE KITCHEN","6","2010-12-01T00:34:00.000Z",2.1,"13047","United Kingdom"
"77","536367","22749","FELTCRAFT PRINCESS CHARLOTTE DOLL","8","2010-12-01T00:34:00.000Z",3.75,"13047","United Kingdom"
"78","536367","22310","IVORY KNITTED MUG COSY ","6","2010-12-01T00:34:00.000Z",1.65,"13047","United Kingdom"
"79","536367","84969","BOX OF 6 ASSORTED COLOUR TEASPOONS","6","2010-12-01T00:34:00.000Z",4.25,"13047","United Kingdom"
"80","536367","22623","BOX OF VINTAGE JIGSAW BLOCKS ","3","2010-12-01T00:34:00.000Z",4.95,"13047","United Kingdom"
"81","536367","22622","BOX OF VINTAGE ALPHABET BLOCKS","2","2010-12-01T00:34:00.000Z",9.95,"13047","United Kingdom"
"82","536367","21754","HOME BUILDING BLOCK WORD","3","2010-12-01T00:34:00.000Z",5.95,"13047","United Kingdom"
"83","536367","21755","LOVE BUILDING BLOCK WORD","3","2010-12-01T00:34:00.000Z",5.95,"13047","United Kingdom"
"84","536367","21777","RECIPE BOX WITH METAL HEART","4","2010-12-01T00:34:00.000Z",7.95,"13047","United Kingdom"
"85","536367","48187","DOORMAT NEW ENGLAND","4","2010-12-01T00:34:00.000Z",7.95,"13047","United Kingdom"
"86","536368","22960","JAM MAKING SET WITH JARS","6","2010-12-01T00:34:00.000Z",4.25,"13047","United Kingdom"
"87","536368","22913","RED COAT RACK PARIS FASHION","3","2010-12-01T00:34:00.000Z",4.95,"13047","United Kingdom"
"88","536368","22912","YELLOW COAT RACK PARIS FASHION","3","2010-12-01T00:34:00.000Z",4.95,"13047","United Kingdom"
"89","536368","22914","BLUE COAT RACK PARIS FASHION","3","2010-12-01T00:34:00.000Z",4.95,"13047","United Kingdom"
"90","536369","21756","BATH BUILDING BLOCK WORD","3","2010-12-01T00:35:00.000Z",5.95,"13047","United Kingdom"
"91","536370","22728","ALARM CLOCK BAKELIKE PINK","24","2010-12-01T00:45:00.000Z",3.75,"12583","France"
"92","536370","22727","ALARM CLOCK BAKELIKE RED ","24","2010-12-01T00:45:00.000Z",3.75,"12583","France"
"93","536370","22726","ALARM CLOCK BAKELIKE GREEN","12","2010-12-01T00:45:00.000Z",3.75,"12583","France"
"94","536370","21724","PANDA AND BUNNIES STICKER SHEET","12","2010-12-01T00:45:00.000Z",0.85,"12583","France"
"95","536370","21883","STARS GIFT TAPE ","24","2010-12-01T00:45:00.000Z",0.65,"12583","France"
"96","536370","10002","INFLATABLE POLITICAL GLOBE ","48","2010-12-01T00:45:00.000Z",0.85,"12583","France"
"97","536370","21791","VINTAGE HEADS AND TAILS CARD GAME ","24","2010-12-01T00:45:00.000Z",1.25,"12583","France"
"98","536370","21035","SET/2 RED RETROSPOT TEA TOWELS ","18","2010-12-01T00:45:00.000Z",2.95,"12583","France"
"99","536370","22326","ROUND SNACK BOXES SET OF4 WOODLAND ","24","2010-12-01T00:45:00.000Z",2.95,"12583","France"
"100","536370","22629","SPACEBOY LUNCH BOX ","24","2010-12-01T00:45:00.000Z",1.95,"12583","France"
"101","536370","22659","LUNCH BOX I LOVE LONDON","24","2010-12-01T00:45:00.000Z",1.95,"12583","France"
"102","536370","22631","CIRCUS PARADE LUNCH BOX ","24","2010-12-01T00:45:00.000Z",1.95,"12583","France"
"103","536370","22661","CHARLOTTE BAG DOLLY GIRL DESIGN","20","2010-12-01T00:45:00.000Z",0.85,"12583","France"
"104","536370","21731","RED TOADSTOOL LED NIGHT LIGHT","24","2010-12-01T00:45:00.000Z",1.65,"12583","France"
"105","536370","22900"," SET 2 TEA TOWELS I LOVE LONDON ","24","2010-12-01T00:45:00.000Z",2.95,"12583","France"
"106","536370","21913","VINTAGE SEASIDE JIGSAW PUZZLES","12","2010-12-01T00:45:00.000Z",3.75,"12583","France"
"107","536370","22540","MINI JIGSAW CIRCUS PARADE ","24","2010-12-01T00:45:00.000Z",0.42,"12583","France"
"108","536370","22544","MINI JIGSAW SPACEBOY","24","2010-12-01T00:45:00.000Z",0.42,"12583","France"
"109","536370","22492","MINI PAINT SET VINTAGE ","36","2010-12-01T00:45:00.000Z",0.65,"12583","France"
"110","536370","POST","POSTAGE","3","2010-12-01T00:45:00.000Z",18,"12583","France"
"111","536371","22086","PAPER CHAIN KIT 50'S CHRISTMAS ","80","2010-12-01T01:00:00.000Z",2.55,"13748","United Kingdom"
"112","536372","22632","HAND WARMER RED POLKA DOT","6","2010-12-01T01:01:00.000Z",1.85,"17850","United Kingdom"
"113","536372","22633","HAND WARMER UNION JACK","6","2010-12-01T01:01:00.000Z",1.85,"17850","United Kingdom"
"114","536373","85123A","WHITE HANGING HEART T-LIGHT HOLDER","6","2010-12-01T01:02:00.000Z",2.55,"17850","United Kingdom"
"115","536373","71053","WHITE METAL LANTERN","6","2010-12-01T01:02:00.000Z",3.39,"17850","United Kingdom"
"116","536373","84406B","CREAM CUPID HEARTS COAT HANGER","8","2010-12-01T01:02:00.000Z",2.75,"17850","United Kingdom"